2017-12-12 17:28:33,504 
source x = 0.0, source y = 0.0, angle = 0.0, distance = 1.0, world = empty.world, duration = 25.66
2017-12-12 17:47:11,565 source x = 0.0, source y = 0.0, angle = 0.0, mapping = apartment.yaml, world = apartment.world, duration = 254.64
2017-12-12 17:48:49,979 source x = 0.0, source y = 0.0, angle = 0.0, mapping = apartment.yaml, world = apartment.world, duration = 96.2
2017-12-12 19:18:11,681 source x = 0.0, source y = 0.0, angle = 0.0, mapping = apartment.yaml, world = apartment.world, duration = 231.94
2017-12-13 18:01:35,479 
source x = 0.0, source y = 0.0, angle = 0.0, distance = 2.0, world = empty.world, duration = 25.59
2017-12-13 18:04:30,268 
source x = 2.0, source y = 2.0, angle = 1.2, distance = 5.0, world = empty.world, duration = 49.77
2017-12-13 18:06:57,339 
source x = 3.0, source y = 4.0, angle = 3.14, distance = 7.0, world = empty.world, duration = 64.22
2017-12-19 13:22:03,059 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 224.22
2017-12-19 15:01:19,740 
source x = 0.0, source y = 0.0, angle = 0.0, distance = 7.0, world = empty.world, duration = 45.06
2017-12-19 17:09:48,152 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 323.21
2017-12-20 14:44:23,643 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 205.34
2017-12-20 14:53:22,471 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 62.43
2017-12-20 15:06:44,924 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 64.62
2017-12-20 15:14:54,988 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 57.56
2017-12-20 15:18:38,448 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 71.38
2017-12-20 15:31:51,377 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 63.94
2017-12-20 15:43:45,141 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 81.56
2017-12-20 15:52:04,822 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 307.76
2017-12-20 17:39:25,300 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 432.06
2017-12-20 18:44:11,306 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 377.01
2017-12-20 18:56:20,076 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 43.05
